book_id,author
331,John le Carré
332,Ruth Rendell
333,David Eddings
334,Norman Mailer
335,Mem Fox
336,Anne McCaffrey
337,Ellis Peters
338,Walter Tevis
339,Jill Barklem
340,Philip Roth
341,Gloria Steinem
342,Joanna Russ
343,Stephen Jay Gould
344,Susan         Hill
345,Marion Zimmer Bradley
346,Gene Wolfe
347,Steven Brust
348,Christa Wolf
349,Jim Davis
350,Jim Davis
351,Anne Perry
352,Francine Pascal
353,Sheri S. Tepper
354,Umberto Eco
355,Aaron Elkins
356,Hayden Herrera
357,Dorothy Gilman
358,Dick Francis
359,Jean Shepherd
360,Svetlana Alexievich
361,M. Scott Peck
362,Berkeley Breathed
363,Wendy Wasserstein
364,Charlotte MacLeod
365,Janet Malcolm
366,Louis Sachar
367,Thomas Bernhard
368,Stephanie James
369,Lewis Thomas
370,Stephanie James
371,John Mortimer
372,Leo Bruce
373,Heinrich Böll
374,Samuel R. Delany
375,Vonda N. McIntyre
376,Göran Tunström
377,Orhan Pamuk
378,David Mamet
379,Trina Schart Hyman
380,Charlotte MacLeod
381,Joanna Russ
382,Gabriel García Márquez
383,LaVyrle Spencer
384,Carlo Ginzburg
385,Brian W. Aldiss
386,Virginia Rich
387,Lindsay McKenna
388,Mitsumasa Anno
389,Jean Plaidy
390,Robert B. Parker
391,Margaret Mary Kimmel
392,Peter Turnbull
393,Louis L'Amour
394,Sheri S. Tepper
395,Francine Pascal
396,Katharine Holabird
397,Tanith Lee
398,Margaret Truman
399,John Gardner
400,Douglas Adams
401,Milan Kundera
402,Tom Clancy
403,Stephen King
404,William Gibson
405,Tamora Pierce
406,J.G. Ballard
407,Sandra Cisneros
408,Richard Bachman
409,Marguerite Duras
410,Iain Banks
411,Gary Larson
412,Julian Barnes
413,Louise Erdrich
414,Dick Francis
415,David Gemmell
416,John Updike
417,Margaret Weis
418,David Eddings
419,Mario Puzo
420,Anita Brookner
421,Ellis Peters
422,J.R.R. Tolkien
423,Ellis Peters
424,Katsuhiro Otomo
425,Guy Gavriel Kay
426,Martin Amis
427,Sue Townsend
428,Isaac Asimov
429,John Jakes
430,Frank Herbert
431,Tony Hillerman
432,Gore Vidal
433,Isabel Allende
434,Victoria Holt
435,Barry Hughart
436,Keri Hulme
437,Clive Cussler
438,Karen Elizabeth Gordon
439,Charles de Lint
440,David Eddings
441,Robin McKinley
442,Jean Plaidy
443,Margaret Hodges
444,Anne Perry
445,Sara Paretsky
446,Jay McInerney
447,Ivan Doig
448,Martha Grimes
449,Martha Grimes
450,Piers Anthony
451,Harry Harrison
452,Janet Malcolm
453,August Wilson
454,Susan Howatch
455,Morgan Llywelyn
456,Roald Dahl
457,Carolly Erickson
458,David Mamet
459,Abdul Rahman Munif
460,Mem Fox
461,Leon Uris
462,Audrey Wood
463,Christopher Priest
464,Harriet Doerr
465,Robert Holdstock
466,Betty Ren Wright
467,Lois Gladys Leppard
468,Lois Duncan
469,John Saul
470,Gabriel García Márquez
471,Jim Davis
472,Clive Barker
473,Marion Zimmer Bradley
474,John Gribbin
475,Glen Cook
476,Steven Brust
477,Frederick Forsyth
478,Angela Carter
479,Sandra Boynton
480,José Saramago
481,Jerry Yulsman
482,V.C. Andrews
483,Vonda N. McIntyre
484,Robert Ludlum
485,Tim Winton
486,T. Coraghessan Boyle
487,Fritz Leiber
488,Italo Calvino
489,Ki-Baik Lee
490,Allen Ginsberg
491,Caroline Blackwood
492,Rumiko Takahashi
493,Rumiko Takahashi
494,Don Wood
495,V.S. Naipaul
496,Steven Kroll
497,Ruth Rendell
498,Charlotte MacLeod
499,Alison Lurie
500,Margaret Atwood
501,Orson Scott Card
502,Patrick Süskind
503,Larry McMurtry
504,Gabriel García Márquez
505,John Irving
506,Laura Joffe Numeroff
507,Anne Rice
508,Oliver Sacks
509,Cormac McCarthy
510,Chris Van Allsburg
511,Anne Tyler
512,Don DeLillo
513,Art Spiegelman
514,Haruki Murakami
515,Carl Sagan
516,Stephen King
517,Madeleine L'Engle
518,Terry Brooks
519,Patricia MacLachlan
520,Robin McKinley
521,Doris Lessing
522,Elizabeth Peters
523,Richard Bachman
524,Isaac Asimov
525,Kurt Vonnegut Jr.
526,Ellis Peters
527,Orhan Pamuk
528,Priscilla Beaulieu Presley
529,Iris Rainer Dart
530,Elizabeth Winthrop
531,Connie Willis
532,Paul Auster
533,Greg Bear
534,David Brin
535,Bret Easton Ellis
536,Garrison Keillor
537,Raymond E. Feist
538,Jeanette Winterson
539,Sue Grafton
540,Harry Allard
541,Julia Voznesenskaya
542,Ellis Peters
543,Dick Francis
544,Sharon Kay Penman
545,Tad Williams
546,Anne Rice
547,Harriet Lerner
548,Lois Duncan
549,Chaim Potok
550,David Eddings
551,Robert A. Heinlein
552,Ernest Hemingway
553,Johanna Lindsey
554,Johanna Lindsey
555,R.A. MacAvoy
556,Ken Follett
557,Maeve Binchy
558,Audrey Wood
559,Robertson Davies
560,Frank Herbert
561,Jean M. Auel
562,Anne Perry
563,Isaac Asimov
564,Sara Paretsky
565,George R.R. Martin
566,George MacDonald Fraser
567,Glen Cook
568,Roger Zelazny
569,A.S. Byatt
570,Judith McNaught
571,Margaret Weis
572,Margaret Weis
573,Douglas Adams
574,Philippe Ariès
575,Graham Greene
576,John D. MacDonald
577,Martha Grimes
578,Martha Grimes
579,Dorothy Gilman
580,J.A. Jance
581,Virginia Rich
582,M. John Harrison
583,Jayne Ann Krentz
584,Antonio Skármeta
585,David Gemmell
586,Francine Patterson
587,James Tiptree Jr.
588,Margaret Weis
589,James Baldwin
590,Jay Johnstone
591,Heinrich Böll
592,Judith Tarr
593,Lois Gladys Leppard
594,Ian Kershaw
595,Eva Ibbotson
596,Louise Erdrich
597,Paula Danziger
598,Assia Djebar
599,Lois Gladys Leppard
600,Stephen King
601,Diana Wynne Jones
602,Terry Pratchett
603,Orson Scott Card
604,Brian Jacques
605,Pat Conroy
606,Robert Munsch
607,Isaac Asimov
608,Tamora Pierce
609,Scott Turow
610,Frank Miller
611,Lois McMaster Bujold
612,Lois McMaster Bujold
613,Kazuo Ishiguro
614,Gary Paulsen
615,Ellis Peters
616,Ellis Peters
617,Richard Dawkins
618,Robert Hughes
619,Ann M. Martin
620,Tom Clancy
621,P.D. James
622,Robert Ludlum
623,Tony Hillerman
624,Guy Gavriel Kay
625,David Henry Hwang
626,Terry Brooks
627,Lois McMaster Bujold
628,John le Carré
629,Dick Francis
630,Art Spiegelman
631,J.M. Coetzee
632,Robert McCrum
633,Raymond E. Feist
634,Anne McCaffrey
635,Margaret Weis
636,Janet Beeler Shaw
637,Beatrix Potter
638,Natalie Goldberg
639,Ken Grimwood
640,Richard Rhodes
641,Kaye Gibbons
642,Frank E. Peretti
643,Carl Hiaasen
644,Richard Ford
645,Paula Danziger
646,August Wilson
647,Martha Grimes
648,Lilian Jackson Braun
649,James Herriot
650,Barbara Vine
651,William Gibson
652,Iain Banks
653,Vernor Vinge
654,Madeleine L'Engle
655,Graeme Base
656,Roger Zelazny
657,Mary Downing Hahn
658,V. Vale
659,Akimi Yoshida
660,Jennifer Roberson
661,William Gibson
662,Amin Maalouf
663,Margaret Weis
664,Francine Pascal
665,Robert Fulghum
666,José Saramago
667,Margaret Weis
668,Jean Plaidy
669,Kingsley Amis
670,Nancy E. Shaw
671,Anaïs Nin
672,Lawrence Block
673,Umberto Eco
674,Sheri S. Tepper
675,Philip Roth
676,Thomas Bernhard
677,Clive Cussler
678,Charles de Lint
679,Chris Crutcher
680,Alistair MacLeod
681,Shelby Foote
682,Maryse Condé
683,Primo Levi
684,Michael Cox
685,Guy Gavriel Kay
686,Mary     Brown
687,Christine Brooke-Rose
688,Arthur C. Clarke
689,Michael Talbot
690,Günter Grass
691,Morgan Llywelyn
692,Jackie Collins
693,Italo Calvino
694,David A. Stockman
695,Marc Reisner
696,Carolyn Steedman
697,Shūsaku Endō
698,Joanna Cole
699,J.S. Borthwick
700,Toni Morrison
701,Stephen King
702,Stephen King
703,Terry Pratchett
704,Alan Moore
705,Bill Watterson
706,Terry Pratchett
707,Fannie Flagg
708,Tom Wolfe
709,Richard Bachman
710,Art Spiegelman
711,Tom Clancy
712,Haruki Murakami
713,Gary Paulsen
714,Iain M. Banks
715,Douglas Adams
716,Stephen King
717,Edward Rutherfurd
718,Paul Auster
719,Rosamunde Pilcher
720,Penelope Lively
721,Brian Jacques
722,James Ellroy
723,Randy Shilts
724,Witi Ihimaera
725,Orson Scott Card
726,Stephen King
727,Emma Bull
728,Roddy Doyle
729,Larry McMurtry
730,Isabel Allende
731,Carrie Fisher
732,Dick Francis
733,Lilian Jackson Braun
734,Louis L'Amour
735,Peter Robinson
736,Michael Ondaatje
737,David Brin
738,Chinua Achebe
739,Lilian Jackson Braun
740,Tim Powers
741,Miep Gies
742,Arthur C. Clarke
743,Louis Sachar
744,Mercedes Lackey
745,Scott Turow
746,Dick Francis
747,Cynthia Rylant
748,Magda Szabó
749,Octavia E. Butler
750,Nora Roberts
751,Ian Rankin
752,Mario Vargas Llosa
753,Robert Crais
754,Robert B. Parker
755,John Jakes
756,Robin Cook
757,Sara Paretsky
758,Jonathan Kellerman
759,Connie Willis
760,Frank Miller
761,Clive Barker
762,Terry Brooks
763,Jonathan Carroll
764,Lucius Shepard
765,Roger Zelazny
766,Mercedes Lackey
767,Maeve Binchy
768,Cleveland Amory
769,Iris Murdoch
770,Michael Crichton
771,Wallace Stegner
772,Ellis Peters
773,Cynthia Rylant
774,Allan Bloom
775,Sheri S. Tepper
776,James Lee Burke
777,Barbara Vine
778,Anne Fausto-Sterling
779,Jack Weyland
780,Gloria E. Anzaldúa
781,Stephen Sondheim
782,Keri Hulme
783,Harold Coyle
784,Ward Just
785,Hayden White
786,Charlotte MacLeod
787,Kaye Gibbons
788,Andrew Vachss
789,Mo Yan
790,Richard Ellmann
791,Ruth Stiles Gannett
792,Orson Scott Card
793,Derek Walcott
794,Judith McNaught
795,Gene Wolfe
796,Bret Easton Ellis
797,Jeanette Winterson
798,Gardner Dozois
799,Ivan Doig
800,Roald Dahl
801,Thomas  Harris
802,Stephen Hawking
803,Bill Watterson
804,Paulo Coelho
805,Terry Pratchett
806,Anne Rice
807,Douglas Adams
808,Salman Rushdie
809,Umberto Eco
810,Katherine Neville
811,Robert Fulghum
812,Bill Watterson
813,Margaret Atwood
814,Tamora Pierce
815,Tad Williams
816,Barbara Kingsolver
817,Brian Jacques
818,Peter Straub
819,Isaac Asimov
820,Peter Carey
821,Sam McBratney
822,Joseph Campbell
823,Tom Clancy
824,Lois McMaster Bujold
825,Elizabeth Moon
826,Bill Watterson
827,Bill Watterson
828,James A. Michener
829,Anne Tyler
830,Ursula K. Le Guin
831,Elizabeth  George
832,Doris Lessing
833,Tony Hillerman
834,Iain M. Banks
835,Jane Yolen
836,C.J. Cherryh
837,N.H. Kleinbaum
838,Terry Brooks
839,Banana Yoshimoto
840,David Eddings
841,David Eddings
842,Lilian Jackson Braun
843,Ellis Peters
844,Dick Francis
845,Ellis Peters
846,Lilian Jackson Braun
847,Dean Koontz
848,Martin Handford
849,Nora Roberts
850,Louise Erdrich
851,Bernard Cornwell
852,Sidney Sheldon
853,James Ellroy
854,Robert B. Parker
855,Janet Beeler Shaw
856,William Manchester
857,William Gibson
858,Amin Maalouf
859,Mercedes Lackey
860,Jane Yolen
861,Anne McCaffrey
862,Diana Wynne Jones
863,Octavia E. Butler
864,Lee Strobel
865,Muriel Spark
866,Janet Frame
867,Sue Grafton
868,Helen Lester
869,Sheri S. Tepper
870,James M. McPherson
871,Martha Grimes
872,Lilian Jackson Braun
873,Sara Paretsky
874,H.G. Bissinger
875,Ted Morgan
876,Clive Cussler
877,Stephen King
878,Jonathan Carroll
879,Joe Simpson
880,Jayne Ann Krentz
881,Caroline B. Cooney
882,Tsitsi Dangarembga
883,Julie Garwood
884,Isaac Asimov
885,Danielle Steel
886,Jamaica Kincaid
887,Don DeLillo
888,Bruce Sterling
889,Flannery O'Connor
890,Thomas L. Friedman
891,Barbara Hambly
892,Sharon Lee
893,Robert Ludlum
894,Robin McKinley
895,R.A. Salvatore
896,Richard Brinsley Sheridan
897,Terry Pratchett
898,Johanna Lindsey
899,Clive Barker
900,Ken Follett
901,Amy Tan
902,Lois Lowry
903,Kazuo Ishiguro
904,Jon Scieszka
905,John Irving
906,John Grisham
907,Laura Esquivel
908,Bill Martin Jr.
909,Louis Sachar
910,Terry Pratchett
911,Dan Simmons
912,John le Carré
913,Jan Brett
914,Bill Watterson
915,Bill Watterson
916,Terry Pratchett
917,Bill Bryson
918,Stephen R. Covey
919,Ellis Peters
920,Tony Hillerman
921,John Sandford
922,Lois McMaster Bujold
923,Terry Pratchett
924,Michael Rosen
925,Nora Roberts
926,Katherine Dunn
927,Dick Francis
928,Martin Cruz Smith
929,David Hackett Fischer
930,Lois McMaster Bujold
931,Elizabeth  George
932,David Eddings
933,Tom Clancy
934,Lilian Jackson Braun
935,Jeanette Winterson
936,Margaret George
937,Ellis Peters
938,Anne Rice
939,John Keegan
940,Anne McCaffrey
941,E.L. Doctorow
942,Stephen Jay Gould
943,Jude Deveraux
944,James A. Michener
945,Martha Grimes
946,Heidi Murkoff
947,Gabriel García Márquez
948,P.D. James
949,Jonathan Kellerman
950,Terry Brooks
951,Susan Sontag
952,Charles Palliser
953,Martin Amis
954,Stephen King
955,Jill Ker Conway
956,Judith McNaught
957,Neil Gaiman
958,Octavia E. Butler
959,Julian Barnes
960,Michael   Lewis
961,Linda Howard
962,Eileen Christelow
963,Mordecai Richler
964,José Saramago
965,Nora Roberts
966,Gao Xingjian
967,Alan Moore
968,Robert Crais
969,Simon Schama
970,Sheri S. Tepper
971,Ruth Rendell
972,Peter Mayle
973,Tim Powers
974,John Updike
975,Suzanne Fisher Staples
976,N.H. Kleinbaum
977,Katharine Kerr
978,Linda Barnes
979,Paul Auster
980,Sebastian De Grazia
981,David Eddings
982,Lindsey Davis
983,Morgan Llywelyn
984,Arthur C. Clarke
985,Glen Cook
986,Camilo José Cela
987,Johanna Lindsey
988,Leonore Fleischer
989,Aaron Elkins
990,Ian McEwan
991,LaVyrle Spencer
992,Ellen Stoll Walsh
993,William Zinsser
994,Sebastian Faulks
995,Max Frisch
996,Caroline Graham
997,Piers Anthony
998,Michael Palin
999,Terry Pratchett
1000,Michael Crichton
1001,Terry Pratchett
1002,Dr. Seuss
1003,Robert Jordan
1004,A.S. Byatt
1005,Terry Pratchett
1006,Robert Jordan
1007,Stephen King
1008,Tim O'Brien
1009,Patricia C. Wrede
1010,Neil Gaiman
1011,Patricia Daniels Cornwell
1012,Diana Wynne Jones
1013,Jerry Spinelli
1014,Tad Williams
1015,Robert Ludlum
1016,Bill Bryson
1017,Colleen McCullough
1018,Tamora Pierce
1019,Maeve Binchy
1020,Lois McMaster Bujold
1021,John Updike
1022,Guy Gavriel Kay
1023,Isaac Asimov
1024,Elizabeth  George
1025,Ursula K. Le Guin
1026,James Tiptree Jr.
1027,Iain M. Banks
1028,Anne Perry
1029,James Ellroy
1030,Hanif Kureishi
1031,Chaim Potok
1032,Anne Rice
1033,Roddy Doyle
1034,Orhan Pamuk
1035,Walter Mosley
1036,Tony Hillerman
1037,John Sandford
1038,Ellen Kushner
1039,Jostein Gaarder
1040,Eric Carle
1041,William Gibson
1042,Terry Brooks
1043,Dan Simmons
1044,Paul Auster
1045,Brian Jacques
1046,Brian Friel
1047,Salman Rushdie
1048,Laurel Thatcher Ulrich
1049,Lilian Jackson Braun
1050,Arturo Pérez-Reverte
1051,Lilian Jackson Braun
1052,Elmore Leonard
1053,William  Boyd
1054,Stephen R. Donaldson
1055,Amanda Quick
1056,Judy Blume
1057,Susan  Kay
1058,Scott Turow
1059,William Steig
1060,Milan Kundera
1061,Margaret Weis
1062,Joanna Cole
1063,Diane Mott Davidson
1064,Neil Gaiman
1065,Avi
1066,Patricia A. McKillip
1067,Neil Gaiman
1068,Sandra       Brown
1069,Robert B. Parker
1070,Dalai Lama XIV
1071,James Lee Burke
1072,Jonathan Kellerman
1073,Dick Francis
1074,James Herriot
1075,Charlaine Harris
1076,Derek Walcott
1077,Peter Straub
1078,Nora Roberts
1079,Caroline B. Cooney
1080,Carrie Fisher
1081,Paulo Coelho
1082,Johanna Lindsey
1083,Rita Mae Brown
1084,Nora Roberts
1085,Charles R. Johnson
1086,David Gemmell
1087,Barbara Kingsolver
1088,Kurt Vonnegut Jr.
1089,Johanna Lindsey
1090,A.N. Wilson
1091,Janet Malcolm
1092,Howard Zinn
1093,Linda Howard
1094,Bryan Burrough
1095,Jessica Hagedorn
1096,Edward R. Tufte
1097,Debbie Dadey
1098,J.M. Coetzee
1099,Gerald N. Lund
1100,Diana Gabaldon
1101,Robin Waterfield
1102,Jostein Gaarder
1103,Stephen King
1104,Terry Pratchett
1105,Art Spiegelman
1106,Robert Jordan
1107,Stephen King
1108,Jung Chang
1109,Terry Pratchett
1110,Alison Weir
1111,Amy Tan
1112,Pat Barker
1113,Jane Smiley
1114,Tom Clancy
1115,Henning Mankell
1116,Neil Gaiman
1117,Patricia Cornwell
1118,Bret Easton Ellis
1119,Neil Gaiman
1120,Caroline B. Cooney
1121,Kevin Henkes
1122,Timothy Zahn
1123,Lois McMaster Bujold
1124,David Simon
1125,Jeffrey Archer
1126,Maeve Binchy
1127,Alexandra Ripley
1128,Clive Cussler
1129,Julia Alvarez
1130,Naomi Wolf
1131,Orson Scott Card
1132,Daniel Quinn
1133,John Grisham
1134,Angela Carter
1135,Tim Winton
1136,Ellis Peters
1137,Roddy Doyle
1138,Douglas Coupland
1139,John Grisham
1140,Elizabeth  George
1141,Clive Barker
1142,Beryl Bainbridge
1143,Amanda Quick
1144,Terry Brooks
1145,Stephen Fry
1146,Louis Begley
1147,David Eddings
1148,Nancy Kress
1149,Susan Faludi
1150,Kōji Suzuki
1151,Patricia C. Wrede
1152,Margaret Atwood
1153,Norman Mailer
1154,Martin Amis
1155,Martha Grimes
1156,Anne McCaffrey
1157,Faith Ringgold
1158,Anne Tyler
1159,"Margaret Sayers Peden (Translated By) Allende, Isabel; Isabel Allende"
1160,Nora Roberts
1161,Ian Rankin
1162,L.J. Smith
1163,David Eddings
1164,Brian Jacques
1165,Julie Garwood
1166,L.J. Smith
1167,Agatha Christie
1168,Rosamunde Pilcher
1169,Johanna Lindsey
1170,Laura Numeroff
1171,Sandra       Brown
1172,Sandra       Brown
1173,Iain Pears
1174,Jayne Ann Krentz
1175,Leslie Marmon Silko
1176,Nora Roberts
1177,Pamela Dean
1178,Philip Roth
1179,Iain M. Banks
1180,Jonathan Kozol
1181,Michael Swanwick
1182,Dương Thu Hương
1183,Gary Paulsen
1184,David Wiesner
1185,Bill Bryson
1186,C.S. Friedman
1187,Lloyd Alexander
1188,Jared Diamond
1189,Nora Roberts
1190,H. Jackson Brown Jr.
1191,Mark Helprin
1192,Charlotte MacLeod
1193,Nick Bantock
1194,Richard Ruland
1195,Phyllis Reynolds Naylor
1196,Colin Dexter
1197,Linda Barnes
1198,Nora Roberts
1199,Nora Roberts
1200,Donna Tartt
1201,Terry Pratchett
1202,Michael Ondaatje
1203,John Grisham
1204,Connie Willis
1205,Terry Pratchett
1206,Stephen King
1207,Neal Stephenson
1208,Michael Connelly
1209,Diana Gabaldon
1210,Robert Jordan
1211,Neil Gaiman
1212,Stephen King
1213,Robert   Harris
1214,Tamora Pierce
1215,Bill Bryson
1216,Douglas Adams
1217,David McCullough
1218,Peter Høeg
1219,Kim Stanley Robinson
1220,Anne Rice
1221,P.D. James
1222,Timothy Zahn
1223,Bill Watterson
1224,Patricia Cornwell
1225,Mary Pope Osborne
1226,Daniel Quinn
1227,Dave Pelzer
1228,Toni Morrison
1229,Alison Weir
1230,Tony Kushner
1231,Kim Newman
1232,Robert James Waller
1233,Gary Larson
1234,John  Gray
1235,Terry Brooks
1236,Annie Proulx
1237,David Weber
1238,Wally Lamb
1239,Brian Jacques
1240,Jon Scieszka
1241,Robert Crais
1242,Ellis Peters
1243,Umberto Eco
1244,Wilson Rawls
1245,Stephen R. Donaldson
1246,Barry Unsworth
1247,Cormac McCarthy
1248,Marcus Pfister
1249,William Manchester
1250,Ian Rankin
1251,Dana Stabenow
1252,Ian Rankin
1253,Diane Mott Davidson
1254,Chris Heimerdinger
1255,Nelson DeMille
1256,A.S. Byatt
1257,Maureen F. McHugh
1258,Amanda Quick
1259,Martin Cruz Smith
1260,Stephen E. Ambrose
