book_id,genre
42,Fantasy
42,Childrens
42,Romance
42,Science Fiction
42,Classics
43,Nonfiction
43,Biography
43,Writing
43,Memoir
43,Classics
43,Literature
43,Religion
44,Short Stories
44,Fiction
44,Classics
44,Southern
44,Literature
44,Southern Gothic
44,American
45,Star Wars
45,Science Fiction
45,Fiction
45,Fantasy
45,Adventure
45,Space Opera
45,Science Fiction Fantasy
46,Horror
46,Fiction
46,Thriller
46,Suspense
46,Mystery
46,Mystery Thriller
46,Coming Of Age
47,Fiction
47,Short Stories
47,Algeria
47,Africa
47,France
47,Feminism
47,African Literature
48,Fiction
48,Feminism
48,LGBT
48,Lesbian
48,Queer
48,Science Fiction
48,Gender
49,Fiction
49,China
49,Historical Fiction
49,Short Stories
49,Asian Literature
49,Historical
49,School
50,Fiction
50,Historical Fiction
50,Classics
50,Australia
50,Novels
50,Literary Fiction
50,Literature
51,Horror
51,Fantasy
51,Fiction
51,Thriller
51,Mystery
51,Magic
51,Supernatural
52,Mystery
52,Fiction
52,Detective
52,Crime
52,Mystery Thriller
52,Thriller
52,Hard Boiled
53,Childrens
53,Fiction
53,Young Adult
53,Middle Grade
53,Humor
53,Realistic Fiction
53,Classics
54,Short Stories
54,Africa
54,Fiction
54,South Africa
54,Literature
54,Nobel Prize
54,20th Century
55,Thriller
55,Fiction
55,Historical Fiction
55,Action
55,Historical
55,Adventure
55,Mystery
56,Picture Books
56,Animals
56,Childrens
56,Humor
56,Fiction
56,Fantasy
56,School
57,Fiction
57,Horror
57,Young Adult
57,Romance
57,Gothic
57,Drama
57,Thriller
58,Fantasy
58,Horror
58,Fiction
58,Ghosts
58,Science Fiction
58,Supernatural
58,Paranormal
59,Fantasy
59,Fiction
59,Childrens
59,Middle Grade
59,Young Adult
59,Animals
59,Classics
60,Fiction
60,Canada
60,Jewish
60,Canadian Literature
60,Literary Fiction
60,Novels
60,Contemporary
61,Fiction
61,India
61,Historical Fiction
61,Indian Literature
61,Asia
61,Literature
61,Literary Fiction
62,Young Adult
62,Childrens
62,Fiction
62,Middle Grade
62,Realistic Fiction
62,Juvenile
62,Teen
63,Science Fiction
63,Fiction
63,Dystopia
63,Post Apocalyptic
63,Robots
63,Speculative Fiction
63,Science Fiction Fantasy
64,History
64,Nonfiction
64,Biography
64,Military Fiction
64,World War II
64,Memoir
64,War
65,Historical Fiction
65,Fiction
65,Africa
65,Historical
65,South Africa
65,Novels
65,Classics
66,Travel
66,Nonfiction
66,Memoir
66,Australia
66,Adventure
66,Biography
66,Nature
67,Nonfiction
67,Biography
67,Japan
67,Essays
67,France
67,Literature
67,Japanese Literature
68,Art
68,Nonfiction
68,Art History
68,History
68,Design
68,Reference
68,Philosophy
69,Picture Books
69,Childrens
69,Fiction
69,Fantasy
69,Animals
69,Classics
69,Middle Grade
70,Historical Fiction
70,Fiction
71,Picture Books
71,Childrens
71,Fables
71,Fiction
71,Animals
71,Classics
71,Fantasy
72,Mystery
72,Fiction
72,Crime
72,Thriller
72,Mystery Thriller
72,Politics
72,Historical Fiction
73,Picture Books
73,Childrens
73,Fiction
73,Animals
73,Fantasy
73,Classics
73,Short Stories
74,Horror
74,Fiction
74,Thriller
74,Fantasy
74,Science Fiction
74,Mystery
74,Paranormal
75,Photography
75,Art
75,Nonfiction
75,Philosophy
75,Theory
75,Essays
75,France
76,Historical Fiction
76,Fiction
76,Historical
76,Adventure
76,Fantasy
76,Thriller
76,Novels
77,Poetry
77,Ireland
77,Irish Literature
77,Fiction
77,Literature
77,20th Century
78,Science Fiction
78,Fiction
78,Fantasy
78,Science Fiction Fantasy
78,Time Travel
78,Speculative Fiction
78,Adventure
79,Fiction
79,Feminism
79,Classics
79,Novels
79,African American
79,Race
79,Literature
80,Mystery
80,Fiction
80,Crime
80,Thriller
80,British Literature
80,Suspense
80,Mystery Thriller
81,Mystery
81,Crime
81,International
81,Fiction
82,Mystery
82,Fiction
82,Cozy Mystery
82,Humor
82,Crime
82,Mystery Thriller
82,Historical Fiction
